,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
1,OSIMHEN VICTOR,0.09674796747967487,0.16047619047619047,54.05074332171894,20.0,13,96.66666666666667,Napoli
11,DYBALA PAULO,0.08983739837398382,0.12714285714285714,41.35842044134727,24.0,8,78.21835095877704,Roma
4,IMMOBILE CIRO,0.05406504065040653,0.1766666666666667,48.82731707317073,22.0,0,72.53497505641842,Lazio
2,MARTINEZ LAUTARO,0.027642276422764227,0.1414285714285714,44.561730545876884,22.0,0,67.79988399366906,Inter
5,LUKAKU ROMELU,-0.10000000000000006,0.16047619047619047,33.16380952380952,23.0,7,66.74998081648637,Inter
6,LEAO RAFAEL,0.1,0.12714285714285714,46.91571428571429,16.0,0,65.41296599236732,Milan
0,BERARDI DOMENICO,-0.00772357723577234,0.16666666666666669,44.51747967479675,19.0,0,65.25076251815106,Sassuolo
9,EL SHAARAWY STEPHAN,0.06422764227642276,0.09121212121212122,37.346060606060604,4.0,13,64.78999976669284,Roma
3,SANABRIA ANTONIO,0.017886178861788605,0.07303030303030303,36.74614929785661,13.0,8,63.931749734277204,Torino
19,ARNAUTOVIC MARKO,0.009756097560975622,0.10809523809523808,31.75670150987224,15.0,8,60.0597901234627,Bologna
21,JOVIC LUKA,0.0,0.10939393939393939,30.704545454545453,18.0,7,59.85336382744268,Fiorentina
35,KOUAME' CHRISTIAN,0.06504065040650407,0.09857142857142856,32.916457607433216,14.0,7,58.97540337183881,Fiorentina
7,GIROUD OLIVIER,-0.008536585365853661,0.12238095238095237,34.76292682926829,22.0,0,56.92254564705151,Milan
8,VLAHOVIC DUSAN,-0.005284552845528417,0.18428571428571427,39.75709639953543,23.0,-5,55.607439064926425,Juventus
18,LUCCA LORENZO,0.0,0.12238095238095237,32.52333333333333,18.0,2,54.18003434007344,Udinese
41,CABRAL ARTURO,0.027642276422764227,0.1003030303030303,29.528226164079822,8.0,8,51.752697642143374,Fiorentina
13,THURAM MARCUS,0.0,0.12714285714285714,34.17142857142857,12.0,2,51.0095321084414,Inter
36,HOJLUND RASMUS,0.0,0.07303030303030303,26.485151515151514,13.0,7,51.00288301123204,Atalanta
29,DIA BOULAYE,0.0,0.14,32.56,13.0,2,50.054070166375375,Salernitana
33,BRENNER SOUZA DA SILVA,0.0,0.12238095238095237,30.83380952380952,15.0,2,49.804548040689,Udinese
30,MILIK ARKADIUSZ,0.0,0.12238095238095237,31.256190476190476,13.0,2,48.60675294886845,Juventus
20,CEESAY ASSAN,0.0,0.0,22.5,15.0,7,48.245760545418634,Lecce
14,BARROW MUSA,-0.010162601626016229,0.10809523809523808,31.436678281068524,15.0,0,47.396850273402045,Bologna
17,BONAZZOLI FEDERICO,0.010975609756097546,0.10809523809523808,33.10659698025552,22.0,-5,47.39159920838577,Salernitana
24,GONZALEZ NICOLAS,-0.013414634146341472,0.1003030303030303,29.01662971175166,18.0,0,47.21043182223033,Fiorentina
39,CAPUTO FRANCESCO,-0.0,0.15000000000000002,31.05,15.0,0,46.96761109113924,Empoli
23,LOOKMAN ADEMOLA,0.0,0.10809523809523808,30.607142857142854,9.0,2,44.55293262961037,Atalanta
64,PELLEGRI PIETRO,0.014227642276422755,0.08904761904761904,23.793240418118465,6.0,8,43.71980687547597,Torino
27,CAPRARI GIANLUCA,0.047560975609756154,0.10333333333333333,33.36617886178862,17.0,-5,43.51308607920667,Monza
61,CASO GIUSEPPE,0.0,0.12333333333333334,25.823333333333334,13.0,2,42.575912140053056,Frosinone
51,KARAMOH YANN,0.05772357723577237,0.03666666666666667,25.2409756097561,4.0,7,42.12176316465764,Torino
38,MOTA CARVALHO DANY,0.0,0.08904761904761904,27.23333333333333,9.0,2,40.80777467269415,Monza
53,ZIRKZEE JOSHUA,0.0,0.06393939393939393,23.29212121212121,5.0,7,40.791735613902866,Bologna
44,BOGA JEREMIE,-0.004878048780487775,0.12238095238095237,27.972694541231128,15.0,-2,40.47466972882211,Atalanta
28,ESPOSITO SEBASTIANO,0.0,0.1003030303030303,29.62242424242424,4.0,2,39.29316134953544,Inter
63,COLOMBO LORENZO,0.05040650406504068,0.07303030303030303,24.98277161862528,10.0,2,39.14283148689175,Lecce
47,PINAMONTI ANDREA,-0.02764227642276426,0.12714285714285714,26.766538908246222,20.0,-5,38.687037020905755,Sassuolo
77,SATRIANO MARTIN,0.003252032520325207,0.03666666666666667,16.656016260162602,9.0,8,38.297002799897655,Empoli
55,PIATEK KRZYSZTOF,-0.008943089430894302,0.10809523809523808,25.14658536585366,21.0,-5,37.722111781456476,Salernitana
71,THAUVIN FLORIAN,0.0,0.10333333333333333,22.183333333333334,12.0,2,37.70193132292755,Udinese
31,PETAGNA ANDREA,-0.028455284552845544,0.10333333333333333,27.740975609756095,8.0,0,37.461035703892186,Monza
75,KALLON YAYAH,-0.04674796747967483,0.08428571428571428,16.53934959349593,8.0,8,37.33416153439149,Verona
34,RASPADORI GIACOMO,-0.048373983739837464,0.12238095238095237,27.302508710801387,8.0,0,36.974307634664854,Napoli
57,LUVUMBO ZITO,0.0,0.09121212121212122,24.255151515151518,8.0,2,36.66845703443996,Cagliari
65,ORIGI DIVOCK,0.0,0.10809523809523808,24.077619047619045,8.0,2,36.471383925037074,Milan
50,CAMBIAGHI NICOLO,0.0,0.03666666666666667,21.883333333333333,1.0,7,35.894551951552735,Empoli
