,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
3,ALBERTO LUIS,-0.017088607594936748,0.10809523809523808,35.58160337552742,25.0,13,91.29048738950613,Lazio
6,KOOPMEINERS TEUN,0.030379746835443023,0.12714285714285714,40.261989150090415,21.0,8,87.14490398094324,Atalanta
22,BONAVENTURA GIACOMO,0.04810126582278488,0.09857142857142856,34.840470162748645,12.0,13,79.82215206737955,Fiorentina
8,CANDREVA ANTONIO,0.0012658227848101002,0.10333333333333333,34.39092827004219,12.0,13,79.17414240531991,Salernitana
15,DE ROON MARTEN,0.017088607594936748,0.11,34.167088607594934,12.0,13,78.85148000973157,Atalanta
2,ELMAS ELIJF,0.05759493670886075,0.06393939393939393,38.781158419639425,10.0,8,76.21030287529355,Napoli
14,DOMINGUEZ NICOLAS,0.04873417721518987,0.06999999999999999,33.49873417721519,9.0,13,75.4880544967967,Bologna
9,RABIOT ADRIEN,0.035443037974683594,0.12000000000000001,38.25721518987342,9.0,8,74.65504450946021,Juventus
11,ANGUISSA ANDRÈ ZAMBO,0.024050632911392412,0.1,35.620253164556964,13.0,8,74.05389294024441,Napoli
12,WALACE SOUZA SILVA,0.0056962025316455635,0.06999999999999999,31.18278481012658,9.0,13,72.14963912091477,Udinese
1,BARELLA NICOLO',0.034810126582278486,0.10333333333333333,41.62362869198312,14.0,0,71.2,Inter
13,KOSTIC FILIP,0.0,0.10809523809523808,32.647619047619045,15.0,7,69.83041222827129,Juventus
18,CASTROVILLI GAETANO,-0.008227848101265764,0.10333333333333333,30.81822784810127,4.0,13,67.62413429567758,Fiorentina
26,MANDRAGORA ROLANDO,-0.0018987341772152065,0.03666666666666667,25.10759493670886,12.0,13,65.79232016868056,Fiorentina
16,FRATTESI DAVIDE,0.0,0.08428571428571428,30.742857142857144,11.0,8,65.42318056608869,Inter
27,HENRIQUE MATHEUS,0.029746835443037974,0.06393939393939393,29.132780974299962,3.0,13,64.3945812844199,Sassuolo
37,COULIBALY LASSANA,0.030379746835443082,0.1,30.556962025316462,10.0,8,64.35521481194988,Salernitana
0,ZIELINSKI PIOTR,-0.06455696202531647,0.13666666666666666,35.72253164556962,16.0,0,64.29363393074365,Napoli
39,ROVELLA NICOLO,0.03354430379746839,0.06999999999999999,28.248101265822786,12.0,8,62.62701758544756,Monza
29,ILIC IVAN,0.0,0.06999999999999999,26.64,5.0,13,62.40126510420891,Torino
4,PELLEGRINI LORENZO,-0.0164556962025317,0.12714285714285714,36.96184448462929,21.0,-5,62.38778197716644,Roma
5,LOBOTKA STANISLAV,0.07088607594936713,0.06999999999999999,38.79797468354431,8.0,0,62.326851025869765,Napoli
