Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
BERARDI DOMENICO,Sassuolo,-0.3,0.43,1.0,0.6,0.6,False,-1,0.75,97,False,80.17,1.0
OSIMHEN VICTOR,Napoli,1.5,0.67,0.7,0.6,0.6,False,1,0.65,97,False,83.89,1.0
MARTINEZ LAUTARO,Inter,0.3,0.51,0.7,0.6,0.8,False,-1,1.15,95,False,81.82,1.0
SANABRIA ANTONIO,Torino,0.5,0.29,0.36666666666666664,0.4,0.6,False,1,0.2,94,False,72.02,1.0
IMMOBILE CIRO,Lazio,-0.2,0.57,1.0,0.8,0.6,False,-1,1.15,92,False,82.25,1.0
LUKAKU ROMELU,Inter,0.0,0.67,0.7,0.8,0.8,False,0.5,1.15,92,False,84.4,0.5
LEAO RAFAEL,Milan,1.1,0.38,0.7,0.4,0.6,False,-1,1.1,89,False,75.1,1.0
GIROUD OLIVIER,Milan,-0.2,0.36,0.7,0.6,0.6,False,-1,0.85,84,False,71.34,0.75
VLAHOVIC DUSAN,Juventus,-0.8,0.84,0.7,0.6,0.6,False,-1,1.25,83,False,75.77,1.0
EL SHAARAWY STEPHAN,Roma,1.2,0.33,0.36666666666666664,0.6,0.6,False,1,0.0,82,False,67.86,1.0
MKHITARYAN HENRIKH,Inter,-1.4,0.23,0.7,0.6,0.4,True,-1,1.45,80,False,63.58,1.0
DYBALA PAULO,Roma,1.5,0.38,0.7,0.6,0.4,False,1,1.65,80,False,75.3,1.0
ABRAHAM TAMMY,Roma,-0.8,0.38,0.7,0.6,0.4,True,-1,0.55,80,False,61.75,0.75
THURAM MARCUS,Inter,0.0,0.38,0.7,0.6,0.6,False,0.5,0.55,80,True,69.91,0.5
BARROW MUSA,Bologna,-0.4,0.3,0.7,0.4,0.8,False,-1,0.6,79,False,66.95,1.0
MURIEL LUIS,Atalanta,-2.5,0.67,0.7,0.6,0.4,False,-1,0.65,79,False,65.95,1.0
LAPADULA GIANLUCA,Cagliari,0.0,0.25,1.0,0.6,0.6,False,0.5,0.35,79,False,69.56,0.5
BONAZZOLI FEDERICO,Salernitana,-0.2,0.3,0.7,0.6,0.6,False,-1,0.85,79,False,68.26,1.0
LUCCA LORENZO,Udinese,0.0,0.36,0.7,0.4,0.6,False,0.5,0.75,77,True,67.39,0.5
ARNAUTOVIC MARKO,Bologna,0.2,0.3,0.7,0.4,0.6,False,1,0.3,76,False,65.21,0.75
CEESAY ASSAN,Lecce,0.0,0.0,0.0,0.4,0.6,False,0.5,0.25,75,False,56.33,0.5
JOVIC LUKA,Fiorentina,0.0,0.58,0.36666666666666664,0.6,0.6,False,0.5,0.6,75,False,66.88,0.5
BELOTTI ANDREA,Roma,-1.9,0.4,0.36666666666666664,0.4,0.4,False,-1,0.1,75,False,56.05,1.0
LOOKMAN ADEMOLA,Atalanta,0.0,0.23,0.7,0.4,0.4,False,0.5,0.15,75,False,61.05,0.5
GONZALEZ NICOLAS,Fiorentina,-0.3,0.4,0.36666666666666664,0.4,0.4,False,-1,0.45,75,False,59.54,0.75
DEULOFEU GERARD,Udinese,0.7,0.46,0.7,0.4,0.4,True,-1,0.55,74,False,59.53,1.0
CORREA JOAQUIN,Inter,-0.6,0.23,0.7,0.6,0.6,False,-1,0.35,74,False,62.47,1.0
CAPRARI GIANLUCA,Monza,-0.1,0.21,0.7,0.6,0.4,False,-1,0.5,74,False,61.9,1.0
ESPOSITO SEBASTIANO,Inter,0.0,0.4,0.36666666666666664,0.4,0.6,False,0.5,0.05,74,True,60.86,0.5
DIA BOULAYE,Salernitana,0.0,0.27,1.0,0.4,0.4,False,0.5,0.7,74,False,65.31,0.5
MILIK ARKADIUSZ,Juventus,0.0,0.36,0.7,0.8,0.4,False,0.5,0.15,74,False,64.95,0.5
PETAGNA ANDREA,Monza,-0.5,0.21,0.7,0.6,0.8,False,-1,-0.2,74,False,61.76,1.0
SIMEONE GIOVANNI,Napoli,1.0,0.21,0.7,0.6,0.6,False,-1,-0.4,74,False,61.11,1.0
BRENNER SOUZA DA SILVA,Udinese,0.0,0.36,0.7,0.4,0.4,False,0.5,0.65,73,True,63.23,0.5
RASPADORI GIACOMO,Napoli,-0.9,0.36,0.7,0.6,0.6,False,-1,0.05,73,False,61.39,1.0
KOUAME' CHRISTIAN,Fiorentina,0.0,0.17,0.7,0.6,0.4,False,0.5,0.7,71,False,62.5,0.5
HOJLUND RASMUS,Atalanta,0.0,0.29,0.36666666666666664,0.4,0.4,False,0.5,0.55,71,False,58.86,0.5
ZAPATA DUVAN,Atalanta,-1.6,0.48,1.0,0.8,0.8,True,-1,0.3,71,False,62.98,1.0
MOTA CARVALHO DANY,Monza,0.0,0.15,0.7,0.4,0.4,False,0.5,0.3,70,False,58.45,0.5
CAPUTO FRANCESCO,Empoli,-1.2,0.36,1.0,0.6,0.6,False,-1,0.6,69,True,63.39,1.0
YEBOAH KELVIN,Genoa,0.0,0.22,0.36666666666666664,0.4,0.8,False,0.5,-0.7,69,False,55.26,0.5
CABRAL ARTURO,Fiorentina,0.7,0.4,0.36666666666666664,0.4,0.6,False,1,-0.2,69,False,58.59,0.75
LAURIENTE' ARMAND,Sassuolo,0.0,0.22,0.36666666666666664,0.4,0.4,True,0.5,0.1,68,False,50.81,0.5
