Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
ZIELINSKI PIOTR,Napoli,-0.6,0.19,1.0,0.8,0.6,False,-1,0.7,96,False,85.93,1.0
BARELLA NICOLO',Inter,0.2,0.19,0.7,0.8,0.8,False,-1,0.65,95,False,86.2,1.0
ELMAS ELIJF,Napoli,0.5,0.11,0.36666666666666664,0.4,0.6,False,1,0.15,92,False,76.23,1.0
ALBERTO LUIS,Lazio,-0.1,0.23,0.7,0.6,0.6,False,1,1.65,91,False,87.24,1.0
PELLEGRINI LORENZO,Roma,-0.6,0.38,0.7,0.6,0.6,False,-1,1.25,90,False,84.88,1.0
LOBOTKA STANISLAV,Napoli,0.5,0.0,0.7,0.4,0.6,False,-1,0.1,88,False,72.24,1.0
KOOPMEINERS TEUN,Atalanta,0.5,0.3,0.7,0.6,0.8,False,1,0.65,88,False,85.44,0.75
PASALIC MARIO,Atalanta,-0.6,0.36,0.36666666666666664,0.6,0.6,False,-1,0.2,85,False,75.11,1.0
CANDREVA ANTONIO,Salernitana,0.0,0.21,0.7,0.4,0.6,False,1,0.7,85,False,78.21,1.0
RABIOT ADRIEN,Juventus,1.0,0.12,1.0,0.6,0.6,False,1,0.1,84,False,79.03,1.0
CHIESA FEDERICO,Juventus,-0.8,0.21,1.0,0.6,0.6,False,-1,0.4,84,False,76.75,1.0
ANGUISSA ANDRÈ ZAMBO,Napoli,0.4,0.0,1.0,0.6,0.6,False,1,0.35,84,False,76.81,0.75
WALACE SOUZA SILVA,Udinese,0.0,0.0,0.7,0.6,0.6,False,1,0.1,83,False,72.41,1.0
KOSTIC FILIP,Juventus,0.0,0.23,0.7,0.6,0.6,False,0.5,0.65,80,False,76.93,0.5
DOMINGUEZ NICOLAS,Bologna,0.6,0.0,0.7,0.6,0.6,False,1,0.1,80,False,71.92,1.0
DE ROON MARTEN,Atalanta,0.2,0.08,1.0,0.6,0.8,False,1,0.3,80,False,77.3,1.0
FRATTESI DAVIDE,Inter,0.4,0.06,0.7,0.4,0.6,False,1,0.7,80,True,73.56,0.75
CRISTANTE BRYAN,Roma,0.1,0.0,0.7,0.4,0.6,False,-1,-0.2,79,False,65.57,1.0
CASTROVILLI GAETANO,Fiorentina,0.2,0.19,0.7,0.6,0.6,False,1,-0.2,78,False,72.39,1.0
LAZOVIC DARKO,Verona,0.2,0.17,0.7,0.4,0.8,True,1,0.7,78,False,71.85,1.0
BARAK ANTONIN,Fiorentina,-0.7,0.19,0.7,0.6,0.4,False,-1,1.2,78,False,73.07,1.0
LOCATELLI MANUEL,Juventus,-0.5,0.06,0.7,0.6,0.6,False,-1,0.7,78,False,70.58,1.0
BONAVENTURA GIACOMO,Fiorentina,0.4,0.17,0.7,0.6,0.4,False,1,0.7,78,False,74.54,1.0
BENNACER ISMAEL,Milan,0.8,0.11,0.7,0.6,0.6,True,-1,0.3,77,False,67.6,1.0
JANKTO JAKUB,Cagliari,0.0,0.21,0.7,0.6,0.6,False,0.5,0.8,77,True,75.64,0.5
KRUNIC RADE,Milan,-0.3,0.0,0.36666666666666664,0.2,0.6,False,-1,-0.2,77,False,59.81,1.0
MANDRAGORA ROLANDO,Fiorentina,0.1,0.0,0.36666666666666664,0.6,0.4,False,1,0.4,75,False,65.7,1.0
HENRIQUE MATHEUS,Sassuolo,0.5,0.22,0.36666666666666664,0.4,0.6,False,1,0.0,74,False,68.25,0.75
DOS SANTOS EDERSON,Atalanta,-0.5,0.0,0.7,0.4,0.8,False,-1,-0.7,73,False,60.91,0.75
ILIC IVAN,Torino,0.2,0.0,0.7,0.4,0.6,False,1,0.1,72,True,65.38,1.0
MATIC NEMANJA,Roma,0.0,0.22,0.36666666666666664,0.6,0.6,False,0.5,-0.5,72,False,65.35,0.5
FERGUSON LEWIS,Bologna,0.0,0.0,0.0,0.2,0.2,False,0.5,-0.15,72,False,53.55,0.5
SCHOUTEN JERDY,Bologna,0.0,0.06,0.7,0.6,0.4,False,-1,0.65,72,False,66.46,1.0
LOPEZ MAXIME,Sassuolo,-0.2,0.0,0.7,0.6,0.6,False,-1,0.6,71,False,65.93,1.0
AMRABAT SOFYAN,Fiorentina,0.1,0.0,0.7,0.4,0.6,False,-1,0.3,71,False,63.53,1.0
RICCI SAMUELE,Torino,0.3,0.11,0.36666666666666664,0.4,0.6,False,1,0.1,71,False,64.73,0.75
LINETTY KAROL,Torino,0.3,0.06,0.7,0.4,0.6,False,1,0.0,71,False,65.71,1.0
