Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
DIMARCO FEDERICO,Inter,0.5,0.12,1.0,0.6,0.6,False,-1,1.55,95,False,88.4,0.75
DI LORENZO GIOVANNI,Napoli,-0.3,0.17,0.7,0.6,0.8,False,1,1.05,90,False,83.55,0.75
AUGUSTO CARLOS,Inter,-0.5,0.0,0.36666666666666664,0.6,0.6,False,1,-0.1,89,False,70.62,0.75
ANGELINO JOSE ANGEL,Roma,0.0,0.15,0.7,0.4,0.6,False,1,0.75,89,False,78.93,0.5
CAMBIASO ANDREA,Juventus,0.1,0.0,0.7,0.8,0.4,False,1,0.3,88,False,75.97,0.75
RRAHMANI AMIR,Napoli,-0.2,0.0,0.7,0.4,0.6,False,1,0.1,87,False,72.01,0.75
ZORTEA NADIR,Bologna,0.5,0.17,0.7,0.4,0.6,False,1,0.7,86,True,78.91,0.75
DODO' DOMILSON,Fiorentina,-0.2,0.11,0.7,0.8,0.4,False,1,0.3,84,False,74.74,0.75
OLIVERA MATHIAS,Napoli,-0.4,0.0,0.36666666666666664,0.6,0.6,False,1,0.5,83,False,70.43,0.75
MANCINI GIANLUCA,Roma,0.0,0.0,0.7,0.6,0.8,False,1,0.0,82,False,72.86,0.75
BASTONI ALESSANDRO,Inter,0.3,0.0,0.7,0.8,0.6,False,1,0.3,81,False,74.54,0.75
DUMFRIES DENZEL,Inter,0.6,0.21,0.7,0.6,0.6,False,1,0.75,81,False,79.1,0.75
MARTIN AARON,Genoa,0.0,0.17,0.7,0.6,0.6,False,1,0.95,81,False,77.59,0.5
MARUSIC ADAM,Lazio,-0.2,0.17,0.7,0.4,0.6,False,1,0.5,80,False,72.81,0.75
BIRAGHI CRISTIANO,Torino,-0.2,0.22,0.36666666666666664,0.4,0.6,False,-1,0.7,80,False,70.16,0.75
DEL PRATO ENRICO,Parma,0.0,0.08,1.0,0.6,0.6,False,0.5,0.55,79,False,74.93,0.5
NDICKA EVAN,Roma,0.0,0.0,0.7,0.6,0.6,False,1,0.0,79,False,69.61,0.5
VALERI EMANUELE,Parma,-0.7,0.11,0.7,0.4,0.6,False,1,0.5,78,False,69.33,0.75
CELIK ZEKI,Roma,0.1,0.0,0.7,0.4,0.6,False,-1,0.0,78,False,65.71,0.75
BELLANOVA RAOUL,Atalanta,0.4,0.21,0.7,0.6,0.8,False,-1,0.15,78,False,73.93,0.75
GABBIA MATTEO,Milan,0.9,0.0,0.36666666666666664,0.6,0.6,False,-1,-0.4,77,False,65.09,0.75
ZALEWSKI NICOLA,Atalanta,-0.4,0.21,0.7,0.4,0.6,False,1,-0.3,77,True,67.72,0.75
VASQUEZ JOHAN,Genoa,0.4,0.0,1.0,0.4,0.8,False,1,0.0,77,False,71.83,0.75
ROMAGNOLI ALESSIO,Lazio,-0.5,0.0,0.7,0.8,0.6,False,1,0.3,77,False,70.09,0.75
BISSECK YANN AUREL,Inter,0.0,0.0,0.36666666666666664,0.6,0.6,False,-1,-0.35,77,False,62.67,0.5
DE VRIJ STEFAN,Inter,0.4,0.0,0.36666666666666664,0.6,0.6,False,1,-0.2,77,False,66.51,0.75
TOMORI FIKAYO,Milan,0.3,0.0,0.7,0.4,0.6,False,-1,0.3,76,False,66.58,0.75
GOSENS ROBIN,Fiorentina,0.0,0.17,0.7,0.6,0.6,False,0.5,0.95,76,False,74.46,0.5
BEUKEMA SAM,Napoli,0.0,0.0,0.7,0.4,0.6,False,-1,0.5,76,True,66.59,0.5
ZAPPA GABRIELE,Cagliari,0.0,0.0,0.7,0.4,0.6,False,-1,0.0,75,False,63.84,0.5
LIMA WESLEY,Roma,0.0,0.21,0.7,0.6,0.8,False,0.5,0.75,75,True,75.35,0.5
MARI' VILLAR PABLO,Fiorentina,-0.1,0.0,0.36666666666666664,0.4,0.6,False,-1,0.1,75,False,61.65,0.75
RANIERI LUCA,Fiorentina,-0.3,0.0,0.7,0.4,0.8,False,-1,0.3,74,False,65.43,0.75
SPINAZZOLA LEONARDO,Napoli,0.0,0.15,0.7,0.6,0.2,False,-1,0.25,74,False,65.14,0.75
VITI MATTIA,Fiorentina,0.0,0.0,0.7,0.4,0.6,False,1,-0.15,74,False,64.64,0.5
MASINA ADAM,Torino,-0.6,0.0,0.0,0.4,0.6,False,1,-0.2,74,False,57.76,0.75
DJIMSITI BERAT,Atalanta,-0.0,0.0,0.7,0.4,0.6,False,1,-0.2,74,False,64.42,0.75
PELLEGRINI LUCA,Lazio,-0.1,0.0,0.36666666666666664,0.6,0.6,False,1,-0.2,74,False,63.46,0.75
ISMAJLI ARDIAN,Torino,-0.2,0.0,0.7,0.4,0.6,True,1,0.3,73,True,61.53,0.75
KALULU PIERRE,Juventus,0.0,0.0,0.7,0.6,0.6,False,1,0.15,73,False,67.12,0.75
