Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
PROVEDEL IVAN,Lazio,1.2,0.95,0.7,0.4,0.6,False,1,0.3,90,False,79.51,1.0
SKORUPSKI LUKASZ,Bologna,0.3,1.33,1.0,0.4,0.6,False,1,0.4,88,False,82.08,1.0
SZCZESNY WOJCIECH,Juventus,-0.2,0.95,0.7,0.8,0.8,False,-1,0.65,87,False,82.97,1.0
MAIGNAN MIKE,Milan,-0.3,0.0,0.0,0.6,0.6,False,-1,0.3,84,False,66.16,0.75
MILINKOVIC SAVIC VANJA,Torino,0.3,1.0,1.0,0.6,0.6,False,1,0.1,81,False,75.79,1.0
MERET ALEX,Napoli,0.6,1.82,0.36666666666666664,0.8,0.6,False,1,0.3,80,False,77.65,1.0
DI GREGORIO MICHELE,Monza,0.0,1.0,1.0,0.4,0.6,False,0.5,0.1,79,False,72.25,0.5
SILVESTRI MARCO,Udinese,0.1,1.33,1.0,0.6,0.6,False,1,0.3,79,False,77.62,1.0
MONTIPÒ LORENZO,Verona,0.7,1.9,0.7,0.4,0.6,False,1,0.3,78,False,75.92,1.0
FALCONE WLADIMIRO,Lecce,0.1,0.0,0.0,0.2,0.6,False,1,0.1,77,False,59.37,0.75
VICARIO GUGLIELMO,Empoli,0.2,1.0,1.0,0.4,0.8,False,1,0.4,75,False,75.22,1.0
ONANA ANDRE,Inter,0.0,0.0,0.0,0.4,0.6,False,0.5,0.15,72,False,58.15,0.5
PATRICIO RUI,Roma,0.0,1.0,1.0,0.4,0.6,False,1,0.1,71,False,68.3,0.75
CONSIGLI ANDREA,Sassuolo,-0.5,1.67,1.0,0.4,0.6,False,-1,0.3,68,False,68.58,1.0
TERRACCIANO PIETRO,Fiorentina,-1.2,0.0,0.0,0.2,0.6,False,1,0.1,65,False,51.59,1.0
MUSSO JUAN,Atalanta,0.3,1.0,1.0,0.6,0.6,False,1,0.35,65,False,69.28,1.0
GOLLINI PIERLUIGI,Napoli,0.0,0.0,0.0,0.6,0.8,False,0.5,-0.15,62,True,53.07,0.5
PERIN MATTIA,Juventus,1.2,1.43,0.7,0.4,0.6,False,1,-0.2,62,False,60.97,1.0
SPORTIELLO MARCO,Milan,-0.3,0.0,0.0,0.4,0.8,False,-1,-0.2,62,False,49.17,1.0
CEROFOLINI MICHELE,Fiorentina,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,55,False,41.8,0.5
CRAGNO ALESSIO,Sassuolo,-2.8,0.0,0.0,0.6,0.4,False,-1,-0.2,51,False,39.24,1.0
VASQUEZ DEVIS,Milan,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,51,True,39.58,0.5
ADAMONIS MARIUS,Lazio,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,50,False,39.02,0.5
SVILAR MILE,Roma,0.0,0.0,0.0,0.6,0.6,False,0.5,-0.4,49,False,41.8,0.5
OCHOA GUILLERMO,Salernitana,0.0,1.82,0.36666666666666664,0.4,0.6,False,0.5,0.1,49,True,54.17,0.5
SEPE LUIGI,Salernitana,1.3,1.82,0.36666666666666664,0.4,0.6,False,1,-0.2,49,False,52.93,1.0
ROSSI FRANCESCO,Atalanta,1.0,0.0,0.0,0.2,0.8,False,1,-0.4,48,False,40.94,0.75
BRANCOLINI FEDERICO,Lecce,0.0,0.0,0.0,0.4,0.6,False,0.5,-0.4,44,False,37.36,0.5
BOER PIETRO,Roma,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,44,False,35.69,0.5
RADUNOVIC BORIS,Cagliari,0.0,0.0,1.0,0.4,0.6,False,0.5,0.1,44,False,49.12,0.5
GEMELLO LUCA,Torino,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,43,False,35.14,0.5
SCUFFET SIMONE,Cagliari,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,42,True,34.58,0.5
