Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
ZACCAGNI MATTIA,Lazio,0.7,0.38,0.7,0.8,0.8,False,1,1.15,92,False,95.22,1.0
ORSOLINI RICCARDO,Bologna,0.3,0.23,0.7,0.6,0.4,False,1,0.7,90,False,80.81,1.0
DIAZ BRAHIM,Milan,0.1,0.17,0.7,0.4,0.6,False,1,0.1,88,False,75.1,1.0
KVARATSKHELIA KVICHA,Napoli,0.0,0.11,0.36666666666666664,0.6,0.8,False,0.5,0.25,86,False,74.0,0.5
ANDERSON FELIPE,Lazio,0.2,0.23,0.7,0.6,0.6,False,1,1.2,84,False,79.9,0.75
CALHANOGLU HAKAN,Inter,-0.1,0.23,0.7,0.6,0.8,False,-1,1.2,82,False,77.96,1.0
LOVRIC SANDI,Udinese,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,0.1,75,False,56.23,0.5
VLASIC NIKOLA,Torino,0.0,0.33,0.36666666666666664,0.6,0.6,False,0.5,0.15,75,False,64.24,0.5
SAELEMAEKERS ALEXIS,Milan,0.0,0.11,0.7,0.4,0.8,False,1,-0.4,75,False,60.96,1.0
PESSINA MATTEO,Monza,0.1,0.17,0.7,0.6,0.6,False,1,0.8,74,False,66.73,1.0
MESSIAS JUNIOR,Milan,-0.4,0.11,0.7,0.4,0.6,False,-1,-0.4,74,False,54.83,1.0
IKONÈ JONATHAN,Fiorentina,0.3,0.36,0.36666666666666664,0.4,0.6,False,1,0.95,74,False,67.34,0.75
MIRANCHUK ALEKSEY,Torino,-0.2,0.21,0.7,0.4,0.6,True,1,0.55,73,False,59.02,1.0
CIURRIA PATRICK,Monza,0.0,0.08,0.7,0.4,0.6,False,0.5,0.75,72,False,60.52,0.5
STREFEZZA GABRIEL,Lecce,0.0,0.3,0.7,0.2,0.6,False,0.5,0.5,71,False,60.61,0.5
ARAMU MATTIA,Genoa,0.0,0.17,0.7,0.6,0.4,False,0.5,0.65,70,False,58.85,0.5
DI FRANCESCO FEDERICO,Lecce,-0.6,0.33,0.36666666666666664,0.4,0.4,False,-1,-0.4,69,False,48.83,0.75
BAJRAMI NEDIM,Sassuolo,-0.9,0.11,0.7,0.4,0.4,False,-1,0.15,69,True,49.52,0.75
GONZALEZ DIEGO,Lazio,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,0.5,69,True,49.95,0.5
OUDIN REMI,Lecce,0.0,0.22,0.36666666666666664,0.4,0.4,False,0.5,0.0,68,False,50.39,0.5
POLITANO MATTEO,Napoli,-0.5,0.21,0.7,0.6,0.8,False,-1,0.8,66,False,59.15,1.0
KASTANOS GRIGORIS,Salernitana,0.2,0.0,0.36666666666666664,0.4,0.6,False,1,-0.7,66,False,44.02,0.75
DE KETELAERE CHARLES,Milan,0.0,0.33,0.36666666666666664,0.4,0.6,False,0.5,0.7,65,False,55.66,0.5
RADONJIC NEMANJA,Torino,0.0,0.17,0.7,0.6,0.4,True,0.5,0.2,64,False,46.6,0.5
SOTTIL RICCARDO,Fiorentina,-0.3,0.22,0.36666666666666664,0.4,0.6,False,-1,-0.2,61,False,42.99,1.0
GAETANO GIANLUCA,Napoli,0.9,0.11,0.7,0.4,0.6,False,1,0.4,60,False,49.41,0.75
MANCOSU MARCO,Cagliari,0.0,0.33,0.36666666666666664,0.6,0.6,False,0.5,0.5,58,False,49.41,0.5
SOLBAKKEN OLA,Roma,0.0,0.36,0.36666666666666664,0.4,0.8,False,0.5,0.05,58,True,48.43,0.5
GARRITANO LUCA,Frosinone,0.0,0.06,0.7,0.4,0.6,False,0.5,0.1,54,False,39.08,0.5
NGONGE CYRIL,Verona,0.0,0.0,0.36666666666666664,0.4,0.8,False,0.5,-0.4,54,True,35.51,0.5
PEREIRO GASTON,Cagliari,0.0,0.0,0.0,0.2,0.4,False,0.5,-0.4,54,False,26.28,0.5
ROMERO LUKA,Milan,2.2,0.0,0.36666666666666664,0.2,0.8,False,1,-0.4,53,False,36.91,0.75
PARIGINI VITTORIO,Genoa,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.7,53,True,30.45,0.5
ASKILDSEN KRISTOFFER,Lecce,-0.2,0.0,0.0,0.4,0.6,False,1,0.15,52,False,31.55,1.0
SECK DEMBA,Torino,0.1,0.0,0.0,0.4,0.8,False,1,-0.4,51,False,30.66,0.75
GUDMUNDSSON ALBERT,Genoa,0.0,0.15,1.0,0.6,0.8,False,0.5,0.45,50,False,44.92,0.5
RAFIA HAMZA,Lecce,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,-0.3,50,False,27.11,0.5
MALDINI DANIELE,Empoli,-0.7,0.0,0.36666666666666664,0.4,0.6,False,-1,-0.4,49,False,25.48,0.75
EDERA SIMONE,Torino,0.0,0.0,0.0,0.4,0.4,False,0.5,-0.4,49,False,23.04,0.5
D'ANDREA LUCA,Sassuolo,0.0,0.11,0.36666666666666664,0.2,0.6,False,0.5,-0.3,48,True,28.01,0.5
DUDA ONDREJ,Verona,0.0,0.0,0.36666666666666664,0.4,0.8,True,0.5,-0.35,48,True,25.89,0.5
VIGNATO EMANUEL,Empoli,0.1,0.0,0.36666666666666664,0.4,0.6,False,1,-0.4,48,True,27.79,1.0
PAFUNDI SIMONE,Udinese,0.0,0.0,0.0,0.2,0.8,False,0.5,-0.4,43,False,20.49,0.5
VIGNATO SAMUELE,Monza,0.0,0.0,0.0,0.4,0.6,False,0.5,-0.4,41,False,17.7,0.5
