,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
0,DI LORENZO GIOVANNI,0.0484375,0.09857142857142856,41.12482142857143,16.0,13,93.91304347826087,Napoli
2,DIMARCO FEDERICO,-0.0070312500000000566,0.09857142857142856,34.84707589285714,19.0,8,79.670370825619,Inter
4,DANILO LUIZ DA SILVA,-0.006249999999999934,0.08428571428571428,32.13303571428572,12.0,13,77.31601092492804,Juventus
42,BUONGIORNO ALESSANDRO,0.07499999999999998,0.06999999999999999,31.595,10.0,13,74.79190096353001,Torino
16,ROMAGNOLI ALESSIO,0.022656249999999996,0.06999999999999999,30.23453125,12.0,13,74.54614436015788,Lazio
18,BIRAGHI CRISTIANO,0.021093749999999963,0.08428571428571428,30.808839285714285,11.0,13,74.51447900338256,Fiorentina
29,MAZZOCCHI PASQUALE,0.049218749999999985,0.06999999999999999,30.60296875,18.0,8,72.60876830020638,Salernitana
22,CASALE NICOLO',0.021093750000000033,0.06999999999999999,29.33203125,11.0,13,72.35985610011333,Lazio
31,MILENKOVIC NIKOLA,-0.014062499999999974,0.06999999999999999,25.9834375,11.0,13,67.47434856425777,Fiorentina
27,ZAPPACOSTA DAVIDE,-0.04140625000000001,0.09857142857142856,26.430223214285707,8.0,13,65.51750116153347,Atalanta
52,PARISI FABIANO,0.022656249999999996,0.08428571428571428,28.078995535714284,14.0,8,65.44809890954468,Fiorentina
51,LUPERTO SEBASTIANO,0.07968750000000002,0.06999999999999999,31.028437500000003,8.0,8,64.53386350253034,Empoli
37,RODRIGUEZ RICARDO,0.08515624999999998,0.03666666666666667,30.37125,9.0,8,64.44460996690924,Torino
21,MARUSIC ADAM,-0.024218750000000032,0.09857142857142856,28.07645089285714,12.0,8,63.705255909792186,Lazio
30,TOLOI RAFAEL,0.012500000000000008,0.06999999999999999,27.9225,11.0,8,62.61108051172272,Atalanta
8,MANCINI GIANLUCA,-0.08046875,0.06999999999999999,23.162499999999998,10.0,13,62.48911198051228,Roma
24,DE VRIJ STEFAN,-0.07109375,0.08904761904761904,23.846540178571427,16.0,8,61.01219167590493,Inter
63,PEREZ NEHUEN,0.027343749999999965,0.06999999999999999,26.224687499999995,12.0,8,61.00358330157417,Udinese
1,HERNANDEZ THEO,-0.04531249999999999,0.10333333333333333,32.221875000000004,23.0,-5,59.31853473427688,Milan
5,HYSAJ ELSEID,-0.021875000000000012,0.03666666666666667,26.12770833333333,1.0,13,58.989183626502935,Lazio
19,ZALEWSKI NICOLA,-0.15859374999999998,0.08428571428571428,17.15258928571429,16.0,13,58.93820641861233,Roma
35,AUGUSTO CARLOS,0.0,0.10333333333333333,29.04,15.0,2,58.48897436676801,Monza
46,DJIMSITI BERAT,-0.022656250000000065,0.06999999999999999,24.314062499999995,3.0,13,58.08225393944394,Atalanta
14,MAEHLE JOAKIM,0.0078124999999999705,0.03666666666666667,26.52489583333333,8.0,8,57.96331825483058,Atalanta
54,DJIDJI KOFFI,0.022656249999999996,0.06999999999999999,27.09328125,7.0,8,57.92301195736513,Torino
61,RUI MARIO,0.04140625000000001,0.06999999999999999,27.564218750000002,6.0,8,57.74053179027799,Napoli
47,EBUEHI TYRONNE,0.07499999999999998,0.03666666666666667,28.816666666666666,3.0,8,56.95912370774181,Empoli
10,KIM MIN-JAE,0.0,0.03666666666666667,26.26,9.0,7,56.907946091485755,Napoli
