Nome,Punteggio,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Fantamedia anno 2020-2021,Presenze 2022-2023,Fanta Media 2022-2023,FM su tot gare 2022-2023,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
PROVEDEL IVAN,90,5.46,4.48,4.24,38,5.46,5.46,21/30,20/30,0,POR,"['Titolare', 'Buona Media']",40,60,False,False,False,Lazio,UP,38
SKORUPSKI LUKASZ,88,4.97,4.96,4.64,37,4.97,4.84,30+,40/50,0,POR,"['Titolare', 'Buona Media', 'Rigorista']",40,60,False,False,False,Bologna,UP,37
SZCZESNY WOJCIECH,87,5.18,5.61,5.38,28,5.18,3.82,21/30,20/30,0,POR,"['Fuoriclasse', 'Titolare', 'Buona Media']",80,80,True,False,False,Juventus,DOWN,28
MAIGNAN MIKE,84,5.34,5.60,nd,22,5.34,3.09,0/10,20/30,0,POR,"['Titolare', 'Buona Media']",60,60,False,False,False,Milan,DOWN,22
MILINKOVIC SAVIC VANJA,81,4.89,4.85,4.60,38,4.89,4.89,30+,30/40,0,POR,['Titolare'],60,60,False,False,False,Torino,UP,38
MERET ALEX,80,5.56,5.00,4.93,34,5.56,4.97,11/20,20/30,0,POR,"['Titolare', 'Buona Media']",80,60,False,False,False,Napoli,UP,34
DI GREGORIO MICHELE,79,5.13,nd,nd,36,5.13,4.86,30+,30/40,0,POR,['Titolare'],40,60,False,False,False,Monza,STABLE,36
SILVESTRI MARCO,79,4.97,4.75,4.90,38,4.97,4.97,30+,40/50,0,POR,"['Titolare', 'Buona Media']",60,60,False,False,False,Udinese,UP,38
MONTIPÒ LORENZO,78,4.79,4.69,4.08,36,4.79,4.54,21/30,40/50,0,POR,"['Titolare', 'Buona Media']",40,60,False,False,False,Verona,UP,36
FALCONE WLADIMIRO,77,5.09,4.95,nd,38,5.09,5.09,0/10,8/11,0,POR,['Titolare'],20,60,False,False,False,Lecce,UP,38
VICARIO GUGLIELMO,75,5.19,4.80,5.00,31,5.19,4.23,30+,30/40,0,POR,"['Titolare', 'Buona Media', 'Rigorista']",40,80,False,False,False,Empoli,UP,31
ONANA ANDRE,72,5.04,nd,nd,24,5.04,3.18,0/10,20/30,0,POR,"['Outsider', 'Titolare', 'Giovane talento']",40,60,False,False,False,Inter,STABLE,24
PATRICIO RUI,71,5.07,5.07,nd,35,5.07,4.67,30+,30/40,0,POR,['Titolare'],40,60,False,False,False,Roma,UP,35
CONSIGLI ANDREA,68,4.47,4.64,4.93,35,4.47,4.12,30+,50/60,0,POR,"['Titolare', 'Buona Media']",40,60,False,False,False,Sassuolo,DOWN,35
TERRACCIANO PIETRO,65,4.78,4.77,6.00,29,4.78,3.65,0/10,3/5,0,POR,['Titolare'],20,60,False,False,False,Fiorentina,UP,29
MUSSO JUAN,65,4.90,4.80,4.60,24,4.90,3.09,30+,30/40,0,POR,"['Outsider', 'Titolare', 'Buona Media']",60,60,False,False,False,Atalanta,UP,24
GOLLINI PIERLUIGI,62,5.21,nd,5.26,7,5.21,0.96,0/10,30/40,0,POR,"['Outsider', 'Panchinaro', 'Buona Media']",60,80,False,True,False,Napoli,STABLE,7
PERIN MATTIA,62,6.05,4.70,4.85,11,6.05,1.75,21/30,30/40,0,POR,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Juventus,UP,11
SPORTIELLO MARCO,62,4.73,5.30,5.03,15,4.73,1.87,0/10,3/5,0,POR,"['Panchinaro', 'Buona Media']",40,80,False,False,False,Milan,DOWN,15
CEROFOLINI MICHELE,55,5.50,nd,nd,5,5.50,0.72,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Fiorentina,STABLE,5
CRAGNO ALESSIO,51,2.00,4.60,4.79,1,2.00,0.05,0/10,0,0,POR,"['Panchinaro', 'Buona Media']",60,40,False,False,False,Sassuolo,DOWN,1
VASQUEZ DEVIS,51,nd,nd,nd,0,0.00,0.00,0/10,3/5,0,POR,['Panchinaro'],20,60,False,True,False,Milan,STABLE,0
ADAMONIS MARIUS,50,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Lazio,STABLE,0
SVILAR MILE,49,4.83,nd,nd,3,4.83,0.38,0/10,0,0,POR,['Panchinaro'],60,60,False,False,False,Roma,STABLE,3
OCHOA GUILLERMO,49,4.95,nd,nd,20,4.95,2.61,11/20,20/30,0,POR,['Titolare'],40,60,False,True,False,Salernitana,STABLE,20
SEPE LUIGI,49,5.15,4.66,3.89,17,5.15,2.30,11/20,20/30,0,POR,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Salernitana,UP,17
ROSSI FRANCESCO,48,6.00,5.00,nd,1,6.00,0.16,0/10,0,0,POR,['Panchinaro'],20,80,False,False,False,Atalanta,UP,1
BRANCOLINI FEDERICO,44,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Lecce,STABLE,0
BOER PIETRO,44,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Roma,STABLE,0
RADUNOVIC BORIS,44,nd,5.67,nd,0,0.00,0.00,30+,0,0,POR,['Titolare'],40,60,False,False,False,Cagliari,STABLE,0
GEMELLO LUCA,43,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Torino,STABLE,0
SCUFFET SIMONE,42,nd,nd,3.00,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,True,False,Cagliari,STABLE,0
RAVAGLIA FEDERICO,41,3.56,5.00,nd,9,3.56,0.84,0/10,0,0,POR,['Panchinaro'],20,20,False,False,False,Bologna,DOWN,9
MAXIMIANO LUIS,40,3.00,nd,nd,1,3.00,0.08,0/10,4/7,0,POR,['Panchinaro'],40,60,False,False,False,Lazio,STABLE,1
MIRANTE ANTONIO,40,6.00,nd,4.85,1,6.00,0.16,0/10,8/11,0,POR,"['Panchinaro', 'Buona Media']",40,40,False,False,False,Milan,STABLE,1
TURATI STEFANO,40,nd,nd,nd,0,0.00,0.00,30+,0,0,POR,"['Titolare', 'Giovane talento']",40,80,False,False,False,Frosinone,STABLE,0
PIANA EDOARDO,39,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Udinese,STABLE,0
PINSOGLIO CARLO,39,nd,5.50,5.00,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Juventus,STABLE,0
PERISAN SAMUEL,36,4.93,nd,nd,7,4.93,0.91,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Empoli,STABLE,7
BERISHA ETRIT,35,nd,5.55,nd,0,0.00,0.00,0/10,0/3,0,POR,['Panchinaro'],20,80,False,False,False,Torino,STABLE,0
MARFELLA DAVIDE,34,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,20,False,False,False,Napoli,STABLE,0
VINCENZO FIORILLO,32,4.00,1.00,nd,1,4.00,0.11,0/10,0/1,0/1,POR,['Panchinaro'],20,60,False,False,False,Salernitana,UP,1
LAMANNA EUGENIO,32,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,20,False,False,False,Monza,STABLE,0
BERARDI ALESSANDRO,32,nd,3.50,6.00,0,0.00,0.00,0/10,0/1,0,POR,['Panchinaro'],20,60,False,False,False,Verona,STABLE,0
PEGOLO GIANLUCA,30,4.75,3.00,6.50,2,4.75,0.25,0/10,0,0,POR,['Panchinaro'],20,80,False,False,False,Sassuolo,UP,2
ARESTI SIMONE,27,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Cagliari,STABLE,0
PADELLI DANIELE,26,nd,3.50,5.00,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,80,False,False,False,Udinese,STABLE,0
MARTINEZ JOSEP,0,nd,nd,nd,0,0.00,0.00,30+,0,0,POR,['Titolare'],40,60,False,False,False,Genoa,STABLE,0
LEALI NICOLA,0,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,True,False,Genoa,STABLE,0
DI LORENZO GIOVANNI,92,6.58,6.36,6.16,37,6.58,6.41,21/30,3/5,3/5,DIF,"['Titolare', 'Buona Media', 'Goleador']",60,80,True,False,False,Napoli,UP,37
HERNANDEZ THEO,90,6.41,6.73,6.86,32,6.41,5.40,21/30,4/7,3/5,DIF,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista']",60,60,False,False,False,Milan,DOWN,32
DIMARCO FEDERICO,89,6.70,6.35,6.57,33,6.70,5.82,21/30,3/5,3/5,DIF,"['Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Piazzati']",60,60,False,False,False,Inter,UP,33
DUMFRIES DENZEL,86,6.00,6.80,nd,34,6.00,5.37,21/30,3/5,4/7,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,60,True,False,False,Inter,DOWN,34
DANILO LUIZ DA SILVA,85,6.46,6.24,6.39,37,6.46,6.29,21/30,3/5,0/3,DIF,"['Titolare', 'Buona Media']",80,60,True,False,False,Juventus,UP,37
HYSAJ ELSEID,83,6.05,5.67,6.00,30,6.05,4.78,11/20,0/1,0/2,DIF,['Panchinaro'],40,60,True,False,False,Lazio,UP,30
GOSENS ROBIN,82,6.30,6.36,7.19,25,6.30,4.14,21/30,3/5,3/5,DIF,"['Panchinaro', 'Buona Media', 'Goleador', 'Assistman']",40,80,False,False,False,Inter,DOWN,25
DODO' DOMILSON,80,5.98,nd,nd,33,5.98,5.19,11/20,0,3/5,DIF,"['Outsider', 'Titolare']",40,60,False,False,False,Fiorentina,STABLE,33
MANCINI GIANLUCA,80,6.16,5.63,6.41,35,6.16,5.67,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,80,True,False,False,Roma,UP,35
TOMORI FIKAYO,79,6.09,6.22,6.44,33,6.09,5.29,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media']",40,60,True,False,False,Milan,DOWN,33
KIM MIN-JAE,78,6.43,nd,nd,35,6.43,5.92,11/20,0,0,DIF,"['Outsider', 'Titolare']",40,40,True,False,False,Napoli,STABLE,35
BASTONI ALESSANDRO,78,6.14,6.31,6.08,29,6.14,4.69,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Giovane talento']",80,60,False,False,False,Inter,DOWN,29
